feature_name,feature_type,electrode,band,representation,used
EEG_AF3_Theta,EEG_band_power,AF3,Theta,topomap image channel,yes
EEG_AF3_Alpha,EEG_band_power,AF3,Alpha,topomap image channel,yes
EEG_AF3_Beta,EEG_band_power,AF3,Beta,topomap image channel,yes
EEG_AF3_Gamma,EEG_band_power,AF3,Gamma,topomap image channel,yes
EEG_AF4_Theta,EEG_band_power,AF4,Theta,topomap image channel,yes
EEG_AF4_Alpha,EEG_band_power,AF4,Alpha,topomap image channel,yes
EEG_AF4_Beta,EEG_band_power,AF4,Beta,topomap image channel,yes
EEG_AF4_Gamma,EEG_band_power,AF4,Gamma,topomap image channel,yes
EEG_AF7_Theta,EEG_band_power,AF7,Theta,topomap image channel,yes
EEG_AF7_Alpha,EEG_band_power,AF7,Alpha,topomap image channel,yes
EEG_AF7_Beta,EEG_band_power,AF7,Beta,topomap image channel,yes
EEG_AF7_Gamma,EEG_band_power,AF7,Gamma,topomap image channel,yes
EEG_AF8_Theta,EEG_band_power,AF8,Theta,topomap image channel,yes
EEG_AF8_Alpha,EEG_band_power,AF8,Alpha,topomap image channel,yes
EEG_AF8_Beta,EEG_band_power,AF8,Beta,topomap image channel,yes
EEG_AF8_Gamma,EEG_band_power,AF8,Gamma,topomap image channel,yes
EEG_C1_Theta,EEG_band_power,C1,Theta,topomap image channel,yes
EEG_C1_Alpha,EEG_band_power,C1,Alpha,topomap image channel,yes
EEG_C1_Beta,EEG_band_power,C1,Beta,topomap image channel,yes
EEG_C1_Gamma,EEG_band_power,C1,Gamma,topomap image channel,yes
EEG_C2_Theta,EEG_band_power,C2,Theta,topomap image channel,yes
EEG_C2_Alpha,EEG_band_power,C2,Alpha,topomap image channel,yes
EEG_C2_Beta,EEG_band_power,C2,Beta,topomap image channel,yes
EEG_C2_Gamma,EEG_band_power,C2,Gamma,topomap image channel,yes
EEG_C3_Theta,EEG_band_power,C3,Theta,topomap image channel,yes
EEG_C3_Alpha,EEG_band_power,C3,Alpha,topomap image channel,yes
EEG_C3_Beta,EEG_band_power,C3,Beta,topomap image channel,yes
EEG_C3_Gamma,EEG_band_power,C3,Gamma,topomap image channel,yes
EEG_C4_Theta,EEG_band_power,C4,Theta,topomap image channel,yes
EEG_C4_Alpha,EEG_band_power,C4,Alpha,topomap image channel,yes
EEG_C4_Beta,EEG_band_power,C4,Beta,topomap image channel,yes
EEG_C4_Gamma,EEG_band_power,C4,Gamma,topomap image channel,yes
EEG_C5_Theta,EEG_band_power,C5,Theta,topomap image channel,yes
EEG_C5_Alpha,EEG_band_power,C5,Alpha,topomap image channel,yes
EEG_C5_Beta,EEG_band_power,C5,Beta,topomap image channel,yes
EEG_C5_Gamma,EEG_band_power,C5,Gamma,topomap image channel,yes
EEG_C6_Theta,EEG_band_power,C6,Theta,topomap image channel,yes
EEG_C6_Alpha,EEG_band_power,C6,Alpha,topomap image channel,yes
EEG_C6_Beta,EEG_band_power,C6,Beta,topomap image channel,yes
EEG_C6_Gamma,EEG_band_power,C6,Gamma,topomap image channel,yes
EEG_CP1_Theta,EEG_band_power,CP1,Theta,topomap image channel,yes
EEG_CP1_Alpha,EEG_band_power,CP1,Alpha,topomap image channel,yes
EEG_CP1_Beta,EEG_band_power,CP1,Beta,topomap image channel,yes
EEG_CP1_Gamma,EEG_band_power,CP1,Gamma,topomap image channel,yes
EEG_CP2_Theta,EEG_band_power,CP2,Theta,topomap image channel,yes
EEG_CP2_Alpha,EEG_band_power,CP2,Alpha,topomap image channel,yes
EEG_CP2_Beta,EEG_band_power,CP2,Beta,topomap image channel,yes
EEG_CP2_Gamma,EEG_band_power,CP2,Gamma,topomap image channel,yes
EEG_CP3_Theta,EEG_band_power,CP3,Theta,topomap image channel,yes
EEG_CP3_Alpha,EEG_band_power,CP3,Alpha,topomap image channel,yes
EEG_CP3_Beta,EEG_band_power,CP3,Beta,topomap image channel,yes
EEG_CP3_Gamma,EEG_band_power,CP3,Gamma,topomap image channel,yes
EEG_CP4_Theta,EEG_band_power,CP4,Theta,topomap image channel,yes
EEG_CP4_Alpha,EEG_band_power,CP4,Alpha,topomap image channel,yes
EEG_CP4_Beta,EEG_band_power,CP4,Beta,topomap image channel,yes
EEG_CP4_Gamma,EEG_band_power,CP4,Gamma,topomap image channel,yes
EEG_CP5_Theta,EEG_band_power,CP5,Theta,topomap image channel,yes
EEG_CP5_Alpha,EEG_band_power,CP5,Alpha,topomap image channel,yes
EEG_CP5_Beta,EEG_band_power,CP5,Beta,topomap image channel,yes
EEG_CP5_Gamma,EEG_band_power,CP5,Gamma,topomap image channel,yes
EEG_CP6_Theta,EEG_band_power,CP6,Theta,topomap image channel,yes
EEG_CP6_Alpha,EEG_band_power,CP6,Alpha,topomap image channel,yes
EEG_CP6_Beta,EEG_band_power,CP6,Beta,topomap image channel,yes
EEG_CP6_Gamma,EEG_band_power,CP6,Gamma,topomap image channel,yes
EEG_CPz_Theta,EEG_band_power,CPz,Theta,topomap image channel,yes
EEG_CPz_Alpha,EEG_band_power,CPz,Alpha,topomap image channel,yes
EEG_CPz_Beta,EEG_band_power,CPz,Beta,topomap image channel,yes
EEG_CPz_Gamma,EEG_band_power,CPz,Gamma,topomap image channel,yes
EEG_Cz_Theta,EEG_band_power,Cz,Theta,topomap image channel,yes
EEG_Cz_Alpha,EEG_band_power,Cz,Alpha,topomap image channel,yes
EEG_Cz_Beta,EEG_band_power,Cz,Beta,topomap image channel,yes
EEG_Cz_Gamma,EEG_band_power,Cz,Gamma,topomap image channel,yes
EEG_F1_Theta,EEG_band_power,F1,Theta,topomap image channel,yes
EEG_F1_Alpha,EEG_band_power,F1,Alpha,topomap image channel,yes
EEG_F1_Beta,EEG_band_power,F1,Beta,topomap image channel,yes
EEG_F1_Gamma,EEG_band_power,F1,Gamma,topomap image channel,yes
EEG_F2_Theta,EEG_band_power,F2,Theta,topomap image channel,yes
EEG_F2_Alpha,EEG_band_power,F2,Alpha,topomap image channel,yes
EEG_F2_Beta,EEG_band_power,F2,Beta,topomap image channel,yes
EEG_F2_Gamma,EEG_band_power,F2,Gamma,topomap image channel,yes
EEG_F3_Theta,EEG_band_power,F3,Theta,topomap image channel,yes
EEG_F3_Alpha,EEG_band_power,F3,Alpha,topomap image channel,yes
EEG_F3_Beta,EEG_band_power,F3,Beta,topomap image channel,yes
EEG_F3_Gamma,EEG_band_power,F3,Gamma,topomap image channel,yes
EEG_F4_Theta,EEG_band_power,F4,Theta,topomap image channel,yes
EEG_F4_Alpha,EEG_band_power,F4,Alpha,topomap image channel,yes
EEG_F4_Beta,EEG_band_power,F4,Beta,topomap image channel,yes
EEG_F4_Gamma,EEG_band_power,F4,Gamma,topomap image channel,yes
EEG_F5_Theta,EEG_band_power,F5,Theta,topomap image channel,yes
EEG_F5_Alpha,EEG_band_power,F5,Alpha,topomap image channel,yes
EEG_F5_Beta,EEG_band_power,F5,Beta,topomap image channel,yes
EEG_F5_Gamma,EEG_band_power,F5,Gamma,topomap image channel,yes
EEG_F6_Theta,EEG_band_power,F6,Theta,topomap image channel,yes
EEG_F6_Alpha,EEG_band_power,F6,Alpha,topomap image channel,yes
EEG_F6_Beta,EEG_band_power,F6,Beta,topomap image channel,yes
EEG_F6_Gamma,EEG_band_power,F6,Gamma,topomap image channel,yes
EEG_F7_Theta,EEG_band_power,F7,Theta,topomap image channel,yes
EEG_F7_Alpha,EEG_band_power,F7,Alpha,topomap image channel,yes
EEG_F7_Beta,EEG_band_power,F7,Beta,topomap image channel,yes
EEG_F7_Gamma,EEG_band_power,F7,Gamma,topomap image channel,yes
EEG_F8_Theta,EEG_band_power,F8,Theta,topomap image channel,yes
EEG_F8_Alpha,EEG_band_power,F8,Alpha,topomap image channel,yes
EEG_F8_Beta,EEG_band_power,F8,Beta,topomap image channel,yes
EEG_F8_Gamma,EEG_band_power,F8,Gamma,topomap image channel,yes
EEG_FC1_Theta,EEG_band_power,FC1,Theta,topomap image channel,yes
EEG_FC1_Alpha,EEG_band_power,FC1,Alpha,topomap image channel,yes
EEG_FC1_Beta,EEG_band_power,FC1,Beta,topomap image channel,yes
EEG_FC1_Gamma,EEG_band_power,FC1,Gamma,topomap image channel,yes
EEG_FC2_Theta,EEG_band_power,FC2,Theta,topomap image channel,yes
EEG_FC2_Alpha,EEG_band_power,FC2,Alpha,topomap image channel,yes
EEG_FC2_Beta,EEG_band_power,FC2,Beta,topomap image channel,yes
EEG_FC2_Gamma,EEG_band_power,FC2,Gamma,topomap image channel,yes
EEG_FC3_Theta,EEG_band_power,FC3,Theta,topomap image channel,yes
EEG_FC3_Alpha,EEG_band_power,FC3,Alpha,topomap image channel,yes
EEG_FC3_Beta,EEG_band_power,FC3,Beta,topomap image channel,yes
EEG_FC3_Gamma,EEG_band_power,FC3,Gamma,topomap image channel,yes
EEG_FC4_Theta,EEG_band_power,FC4,Theta,topomap image channel,yes
EEG_FC4_Alpha,EEG_band_power,FC4,Alpha,topomap image channel,yes
EEG_FC4_Beta,EEG_band_power,FC4,Beta,topomap image channel,yes
EEG_FC4_Gamma,EEG_band_power,FC4,Gamma,topomap image channel,yes
EEG_FC5_Theta,EEG_band_power,FC5,Theta,topomap image channel,yes
EEG_FC5_Alpha,EEG_band_power,FC5,Alpha,topomap image channel,yes
EEG_FC5_Beta,EEG_band_power,FC5,Beta,topomap image channel,yes
EEG_FC5_Gamma,EEG_band_power,FC5,Gamma,topomap image channel,yes
EEG_FC6_Theta,EEG_band_power,FC6,Theta,topomap image channel,yes
EEG_FC6_Alpha,EEG_band_power,FC6,Alpha,topomap image channel,yes
EEG_FC6_Beta,EEG_band_power,FC6,Beta,topomap image channel,yes
EEG_FC6_Gamma,EEG_band_power,FC6,Gamma,topomap image channel,yes
EEG_Fp1_Theta,EEG_band_power,Fp1,Theta,topomap image channel,yes
EEG_Fp1_Alpha,EEG_band_power,Fp1,Alpha,topomap image channel,yes
EEG_Fp1_Beta,EEG_band_power,Fp1,Beta,topomap image channel,yes
EEG_Fp1_Gamma,EEG_band_power,Fp1,Gamma,topomap image channel,yes
EEG_Fp2_Theta,EEG_band_power,Fp2,Theta,topomap image channel,yes
EEG_Fp2_Alpha,EEG_band_power,Fp2,Alpha,topomap image channel,yes
EEG_Fp2_Beta,EEG_band_power,Fp2,Beta,topomap image channel,yes
EEG_Fp2_Gamma,EEG_band_power,Fp2,Gamma,topomap image channel,yes
EEG_FT10_Theta,EEG_band_power,FT10,Theta,topomap image channel,yes
EEG_FT10_Alpha,EEG_band_power,FT10,Alpha,topomap image channel,yes
EEG_FT10_Beta,EEG_band_power,FT10,Beta,topomap image channel,yes
EEG_FT10_Gamma,EEG_band_power,FT10,Gamma,topomap image channel,yes
EEG_FT7_Theta,EEG_band_power,FT7,Theta,topomap image channel,yes
EEG_FT7_Alpha,EEG_band_power,FT7,Alpha,topomap image channel,yes
EEG_FT7_Beta,EEG_band_power,FT7,Beta,topomap image channel,yes
EEG_FT7_Gamma,EEG_band_power,FT7,Gamma,topomap image channel,yes
EEG_FT8_Theta,EEG_band_power,FT8,Theta,topomap image channel,yes
EEG_FT8_Alpha,EEG_band_power,FT8,Alpha,topomap image channel,yes
EEG_FT8_Beta,EEG_band_power,FT8,Beta,topomap image channel,yes
EEG_FT8_Gamma,EEG_band_power,FT8,Gamma,topomap image channel,yes
EEG_FT9_Theta,EEG_band_power,FT9,Theta,topomap image channel,yes
EEG_FT9_Alpha,EEG_band_power,FT9,Alpha,topomap image channel,yes
EEG_FT9_Beta,EEG_band_power,FT9,Beta,topomap image channel,yes
EEG_FT9_Gamma,EEG_band_power,FT9,Gamma,topomap image channel,yes
EEG_Fz_Theta,EEG_band_power,Fz,Theta,topomap image channel,yes
EEG_Fz_Alpha,EEG_band_power,Fz,Alpha,topomap image channel,yes
EEG_Fz_Beta,EEG_band_power,Fz,Beta,topomap image channel,yes
EEG_Fz_Gamma,EEG_band_power,Fz,Gamma,topomap image channel,yes
EEG_O1_Theta,EEG_band_power,O1,Theta,topomap image channel,yes
EEG_O1_Alpha,EEG_band_power,O1,Alpha,topomap image channel,yes
EEG_O1_Beta,EEG_band_power,O1,Beta,topomap image channel,yes
EEG_O1_Gamma,EEG_band_power,O1,Gamma,topomap image channel,yes
EEG_O2_Theta,EEG_band_power,O2,Theta,topomap image channel,yes
EEG_O2_Alpha,EEG_band_power,O2,Alpha,topomap image channel,yes
EEG_O2_Beta,EEG_band_power,O2,Beta,topomap image channel,yes
EEG_O2_Gamma,EEG_band_power,O2,Gamma,topomap image channel,yes
EEG_Oz_Theta,EEG_band_power,Oz,Theta,topomap image channel,yes
EEG_Oz_Alpha,EEG_band_power,Oz,Alpha,topomap image channel,yes
EEG_Oz_Beta,EEG_band_power,Oz,Beta,topomap image channel,yes
EEG_Oz_Gamma,EEG_band_power,Oz,Gamma,topomap image channel,yes
EEG_P1_Theta,EEG_band_power,P1,Theta,topomap image channel,yes
EEG_P1_Alpha,EEG_band_power,P1,Alpha,topomap image channel,yes
EEG_P1_Beta,EEG_band_power,P1,Beta,topomap image channel,yes
EEG_P1_Gamma,EEG_band_power,P1,Gamma,topomap image channel,yes
EEG_P2_Theta,EEG_band_power,P2,Theta,topomap image channel,yes
EEG_P2_Alpha,EEG_band_power,P2,Alpha,topomap image channel,yes
EEG_P2_Beta,EEG_band_power,P2,Beta,topomap image channel,yes
EEG_P2_Gamma,EEG_band_power,P2,Gamma,topomap image channel,yes
EEG_P3_Theta,EEG_band_power,P3,Theta,topomap image channel,yes
EEG_P3_Alpha,EEG_band_power,P3,Alpha,topomap image channel,yes
EEG_P3_Beta,EEG_band_power,P3,Beta,topomap image channel,yes
EEG_P3_Gamma,EEG_band_power,P3,Gamma,topomap image channel,yes
EEG_P4_Theta,EEG_band_power,P4,Theta,topomap image channel,yes
EEG_P4_Alpha,EEG_band_power,P4,Alpha,topomap image channel,yes
EEG_P4_Beta,EEG_band_power,P4,Beta,topomap image channel,yes
EEG_P4_Gamma,EEG_band_power,P4,Gamma,topomap image channel,yes
EEG_P5_Theta,EEG_band_power,P5,Theta,topomap image channel,yes
EEG_P5_Alpha,EEG_band_power,P5,Alpha,topomap image channel,yes
EEG_P5_Beta,EEG_band_power,P5,Beta,topomap image channel,yes
EEG_P5_Gamma,EEG_band_power,P5,Gamma,topomap image channel,yes
EEG_P6_Theta,EEG_band_power,P6,Theta,topomap image channel,yes
EEG_P6_Alpha,EEG_band_power,P6,Alpha,topomap image channel,yes
EEG_P6_Beta,EEG_band_power,P6,Beta,topomap image channel,yes
EEG_P6_Gamma,EEG_band_power,P6,Gamma,topomap image channel,yes
EEG_P7_Theta,EEG_band_power,P7,Theta,topomap image channel,yes
EEG_P7_Alpha,EEG_band_power,P7,Alpha,topomap image channel,yes
EEG_P7_Beta,EEG_band_power,P7,Beta,topomap image channel,yes
EEG_P7_Gamma,EEG_band_power,P7,Gamma,topomap image channel,yes
EEG_P8_Theta,EEG_band_power,P8,Theta,topomap image channel,yes
EEG_P8_Alpha,EEG_band_power,P8,Alpha,topomap image channel,yes
EEG_P8_Beta,EEG_band_power,P8,Beta,topomap image channel,yes
EEG_P8_Gamma,EEG_band_power,P8,Gamma,topomap image channel,yes
EEG_PO3_Theta,EEG_band_power,PO3,Theta,topomap image channel,yes
EEG_PO3_Alpha,EEG_band_power,PO3,Alpha,topomap image channel,yes
EEG_PO3_Beta,EEG_band_power,PO3,Beta,topomap image channel,yes
EEG_PO3_Gamma,EEG_band_power,PO3,Gamma,topomap image channel,yes
EEG_PO4_Theta,EEG_band_power,PO4,Theta,topomap image channel,yes
EEG_PO4_Alpha,EEG_band_power,PO4,Alpha,topomap image channel,yes
EEG_PO4_Beta,EEG_band_power,PO4,Beta,topomap image channel,yes
EEG_PO4_Gamma,EEG_band_power,PO4,Gamma,topomap image channel,yes
EEG_PO7_Theta,EEG_band_power,PO7,Theta,topomap image channel,yes
EEG_PO7_Alpha,EEG_band_power,PO7,Alpha,topomap image channel,yes
EEG_PO7_Beta,EEG_band_power,PO7,Beta,topomap image channel,yes
EEG_PO7_Gamma,EEG_band_power,PO7,Gamma,topomap image channel,yes
EEG_PO8_Theta,EEG_band_power,PO8,Theta,topomap image channel,yes
EEG_PO8_Alpha,EEG_band_power,PO8,Alpha,topomap image channel,yes
EEG_PO8_Beta,EEG_band_power,PO8,Beta,topomap image channel,yes
EEG_PO8_Gamma,EEG_band_power,PO8,Gamma,topomap image channel,yes
EEG_POz_Theta,EEG_band_power,POz,Theta,topomap image channel,yes
EEG_POz_Alpha,EEG_band_power,POz,Alpha,topomap image channel,yes
EEG_POz_Beta,EEG_band_power,POz,Beta,topomap image channel,yes
EEG_POz_Gamma,EEG_band_power,POz,Gamma,topomap image channel,yes
EEG_Pz_Theta,EEG_band_power,Pz,Theta,topomap image channel,yes
EEG_Pz_Alpha,EEG_band_power,Pz,Alpha,topomap image channel,yes
EEG_Pz_Beta,EEG_band_power,Pz,Beta,topomap image channel,yes
EEG_Pz_Gamma,EEG_band_power,Pz,Gamma,topomap image channel,yes
EEG_T7_Theta,EEG_band_power,T7,Theta,topomap image channel,yes
EEG_T7_Alpha,EEG_band_power,T7,Alpha,topomap image channel,yes
EEG_T7_Beta,EEG_band_power,T7,Beta,topomap image channel,yes
EEG_T7_Gamma,EEG_band_power,T7,Gamma,topomap image channel,yes
EEG_T8_Theta,EEG_band_power,T8,Theta,topomap image channel,yes
EEG_T8_Alpha,EEG_band_power,T8,Alpha,topomap image channel,yes
EEG_T8_Beta,EEG_band_power,T8,Beta,topomap image channel,yes
